_id,ArtistName,TrackName,Popularity,Genres,danceability,energy,speechiness,instrumentalness,valence,duration_ms
06pcJklH8rf0T5aHN64DTN,Frah Quintale,Colpa Del Vino,49,"['italian hip hop', 'italian indie pop', 'milan indie']",0.6887640449438204,0.6203431123743782,0.3306814251124179,0.0,0.7269980202146504,173333
1SIXMGcsAeA6sNxaY1EG3O,Nu Genea,Tienaté,61,"['indie napoletano', 'neapolitan funk']",0.7112359550561798,0.8061110547152573,0.0465236942234521,0.0085177664974619,0.9729082004793164,278029
0dOg1ySSI7NkpAe89Zo0b9,Bruce Springsteen,Born in the U.S.A.,72,"['classic rock', 'heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter']",0.3730337078651686,0.9543193584407674,0.0643375994465582,7.868020304568527e-05,0.5884130457434615,278680
6dWf1xaHOmJo7eL9WuSkdL,Travis Scott,goosebumps,54,"['rap', 'slap house']",0.8797752808988765,0.6264338645822759,0.0409892770667589,0.0,0.4664999479003855,243840
5TXDeTFVRVY7Cvt0Dw4vWW,XXXTENTACION,Revenge,87,"['emo rap', 'miami hip hop']",0.7640449438202248,0.2427164754847223,0.4067796610169492,0.0020609137055837,0.1674481608836094,120027
1tH4E6wM4F0w0uXksLb2lJ,Funk Shui Project,"La luna, il fumo, le persiane",37,"['italian indie pop', 'rap napoletano']",0.551685393258427,0.5320272053598619,0.5226565202352128,0.0,0.8707929561321246,177528
2t48WArPDgZ8kZbNAqJwIj,Gomma,Aprile,34,"['italian alternative', 'italian emo', 'italian indie pop']",0.4696629213483146,0.8913815856258248,0.1054998270494638,0.3928934010152284,0.756173804313848,103205
2YvWonOJesvP0yu9IFJY7S,The Drums,I Don't Know How To Love,61,"['brooklyn indie', 'indie rock', 'indie surf', 'modern rock']",0.3876404494382022,0.8913815856258248,0.034244206157039,0.1289340101522842,0.049598832968636,202054
2K4h2jMvqQ8VEKPP7F7MWg,Marietta,"Chase, I Hardly Know Ya",31,"['alternative emo', 'diy emo', 'emo', 'midwest emo', 'philly indie']",0.3471910112359551,0.5766927215511115,0.0290556900726392,0.0116751269035532,0.3998124413879337,220451
0sWCkV8OtChoYGvuoyNfmf,Dsa Commando,Effetto Werther,15,['italian underground hip hop'],0.451685393258427,0.8944269617297737,0.5364925631269458,0.0,0.529019485255809,166490
5c2Pmd63YCGb50VzaDRitD,Fabri Fibra,Venerdì diciassette,43,"['italian hip hop', 'rap napoletano']",0.5573033707865169,0.7360674043244341,0.5209270148737462,0.0,0.5665312076690632,215240
0GMnES4HiZpPOAham6DiH9,Verdena,Valvonauta,43,"['bergamo indie', 'italian alternative', 'italian indie pop']",0.3865168539325843,0.9451832301289208,0.0377032168799723,0.003238578680203,0.6832343440658539,262773
46ur7BPC19mxFjyfebOFSd,Quercia,Pozzanghere,15,"['italian emo', 'italian indie pop', 'italian post-hardcore', 'sardinia indie']",0.4067415730337079,0.9512739823368186,0.0487720511933586,0.7969543147208121,0.0525164113785558,146902
4QlzkaRHtU8gAdwqjWmO8n,The Cure,Friday I'm In Love,76,"['new wave', 'permanent wave', 'rock', 'uk post-punk']",0.5168539325842697,0.7624606638919906,0.0178139052231061,6.852791878172589e-05,0.5154735854954673,215160
14xq70Ita1KiDlx1YDY60z,Fast Animals and Slow Kids,Asteroide,18,"['italian alternative', 'italian indie pop']",0.2617977528089887,0.7695665414678713,0.0252507782774126,0.0082233502538071,0.060227154319058,297440
1eAZH4LTThdnreJGX6DNd6,Thegiornalisti,Senza,35,"['italian adult pop', 'italian indie pop', 'italian pop', 'rome indie']",0.5449438202247192,0.849761445538524,0.0311310965063991,0.0,0.3081171199333125,203951
3ix6K4wZY29bCujrSznwFZ,David Bowie,Let's Dance - 2018 Remaster,69,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']",0.6606741573033709,0.7421581565323317,0.0634728467658249,0.0276142131979695,0.6384286756278004,457676
6g3yRFyCZnbZcIcxifLUPY,72-HOUR POST FIGHT,LOITER,17,['milan indie'],0.6404494382022472,0.5452238351436403,0.0236942234520927,0.848730964467005,0.3112430968010836,191978
1c545gcoPZglxnjHTxXBeX,Canova,Manzarek,48,['milan indie'],0.5325842696629214,0.7847934219876155,0.0108958837772397,0.0,0.5550692924872356,230717
75GU5mkJo4OY2YjGykJCoU,Green Day,One Of My Lies,28,"['permanent wave', 'punk']",0.3033707865168539,0.978682367272358,0.1542718782428225,2.588832487309645e-05,0.7895175575700739,139413
7BKZBCqV6eAyT0wVQvWWrC,The Wonder Years,Woke Up Older,36,"['alternative emo', 'anthem emo', 'emo', 'philly indie', 'pop punk']",0.4179775280898877,0.9573647345447164,0.1525423728813559,0.0,0.2945712201729707,213664
5unDcADEgwE5ppbXKH8dE3,Mecna,Superman,32,"['italian hip hop', 'italian indie pop', 'r&b italiano']",0.4808988764044943,0.417318038777789,0.0383950190245589,0.0,0.3852245493383349,107280
